"id","obs_date","asm","asm_d11","asm_d","asm_d_d11","asm_i","asm_i_d11","rpm","rpm_d11","rpm_d","rpm_d_d11","rpm_i","rpm_i_d11","load_factor","load_factor_d11","load_factor_d","load_factor_d_d11","load_factor_i","load_factor_i_d11","enplane_i","enplane_i_d11","enplane_d","enplane_d_d11","enplane","enplane_d11","air_rpm_tsi","air_rpm_tsi_d11","air_rtmfm","air_rtmfm_d11","rail_frt_carloads","rail_frt_carloads_d11","rail_frt_intermodal","rail_frt_intermodal_d11","rail_pm","rail_pm_d11","transit","transit_d11","petroleum","petroleum_d11","natural_gas","natural_gas_d11","waterborne","waterborne_d11","truck_d11","vmt","vmt_d11","tsi_freight","tsi_freight_c","tsi_passenger","tsi_passenger_c","tsi_total","tsi_total_c","ind_pro","manuf","inv_to_sales","idx_air_rpm","idx_air_rtmfm","idx_rail_frt_carloads","idx_rail_frt_intermodal","idx_rail_pm","idx_transit_d11","idx_petroleum_d11","idx_natural_gas_d11","idx_waterborne_d11","idx_truck_d11"
"SATD200106","2001-06-01T00:00:00.000","82865877","81553655","60231368","59775011","22634509","21778644","63729974","58193718","45304289","41706021","18425685","16487697","76.9","71.4","75.2","69.8","81.4","75.7","6503","5871","53384","48825","59887","54696","64987598","59369045","2475195","2473667","1341603","1344749","723410","713473","528690495","473959669","807301","817952","218802","214044","1444.4","1795.1","50.9","49","74.6","243498","231645","98.6","-0.8","101.5","-0.2","99.5","-0.6","92.16972156711506","73.64134837525935","1.58","1.0067","0.9636","0.9938","0.9611","1.0174","1.0388","0.9565","0.9573","0.9925","0.9959"
"SATD200107","2001-07-01T00:00:00.000","87079555","81687395","63439069","60005145","23640486","21682250","67144380","58571703","48067498","42115726","19076882","16455977","77.1","71.7","75.8","70.2","80.7","75.9","6959","5802","55696","49639","62655","55441","68573410","59228848","2226571","2228155","1290316","1312814","714063","712060","564037290","467795533","785014","808516","231408","225449","1598.1","1823.6","51.2","47.6","74.3","250363","232941","97.7","-0.9","101","-0.5","98.7","-0.8","91.60929792557482","72.84327421464624","1.59","1.0043","0.8679","0.9702","0.9592","1.0042","1.0268","1.0075","0.9725","0.9626","0.9923"
"SATD200108","2001-08-01T00:00:00.000","87717155","82125909","64098172","60412369","23618983","21713540","67664023","59082506","48579798","42542589","19084225","16539917","77.1","71.9","75.8","70.4","80.8","76.2","6946","5907","56292","51237","63238","57144","69003617","60259255","2356106","2307725","1399873","1332120","781987","726638","562266005","477921524","809941","804877","230280","223956","1669.2","1870","51.8","49.3","75.2","253274","233413","99.1","1.5","102.1","1.1","100","1.4","91.52901741858004","73.49107034390157","1.59","1.0218","0.8989","0.9845","0.9788","1.0259","1.0222","1.0008","0.9972","0.9978","1.0039"
"SATD200109","2001-09-01T00:00:00.000","65361009","66649977","47039597","48715770","18321412","17934207","38207236","41615629","26230752","29608789","11976484","12006840","58.5","62.4","55.8","60.8","65.4","66.9","4109","4516","30499","34859","34608","39374","39106905","44393354","1998724","2047200","1345612","1335473","755147","736991","446266947","485226108","768513","781032","221754","224416","1494.1","1883.4","47.5","49","74.4","226312","232276","98","-1.2","82.8","-18.9","93.5","-6.5","91.03409117277212","71.5756923584301","1.64","0.7527","0.7975","0.987","0.9927","1.0416","0.9919","1.0029","1.0044","0.9923","0.9927"
"SATD200110","2001-10-01T00:00:00.000","69552136","68542667","51592799","50628808","17959337","17913860","43609263","44809915","33428069","34180386","10181194","10629528","62.7","65.4","64.8","67.5","56.7","59.3","3789","4199","40242","40773","44031","44972","44271037","45895211","2417439","2234472","1444906","1353775","806068","732418","452095177","475272717","871470","805622","224931","224204","1649.1","1969.8","49.9","46.9","74.6","241050","233772","98.7","0.8","85.4","3.2","94.8","1.4","90.75711315759068","71.14975639972963","1.47","0.7782","0.8704","1.0005","0.9866","1.0203","1.0231","1.0019","1.0505","0.9496","0.9956"
"SATD200111","2001-11-01T00:00:00.000","66632329","69177160","49928543","51394912","16703786","17782248","44598156","47237332","34035501","35349091","10562655","11888242","66.9","68.3","68.2","68.8","63.2","66.9","4031","4611","40647","41574","44678","46185","45245063","48127529","2261922","2200982","1337311","1354657","724306","728985","446094295","473670734","820117","812778","220487","222120","1701","1758.4","48.5","47","74.6","230511","236644","98","-0.8","88.3","3.3","95.1","0.3","90.2242025286778","71.14197573242559","1.51","0.8161","0.8574","1.0012","0.982","1.0168","1.0322","0.9926","0.9377","0.951","0.9963"
"SATD200112","2001-12-01T00:00:00.000","69510768","70008655","52105691","52125178","17405077","17883477","47422033","48959064","34900093","36004524","12521940","12954540","68.2","69.9","67","69.1","71.9","72.4","4676","4852","40860","42496","45536","47348","48167518","50576035","2332011","2268785","1283357","1340860","669520","710754","479188686","478961532","756221","802556","225164","219400","2120.2","1750.8","46.1","46.7","74.3","229584","236694","97.6","-0.4","90.8","2.8","95.6","0.5","90.18909263942945","71.66350274657556","1.54","0.8576","0.8838","0.991","0.9574","1.0282","1.0192","0.9805","0.9337","0.946","0.9921"
"SATD200201","2002-01-01T00:00:00.000","70105149","71316449","52524740","53278686","17580409","18037764","45699949","50520491","32996179","36992454","12703770","13528037","65.2","70.8","62.8","69.4","72.3","75","4786","5020","38499","43596","43285","48617","46587854","52357112","2049355","2280882","1320275","1341605","683653","724538","398443099","470111703","752812","764707","223335","220178","2487.6","1788.4","41.3","47.6","75.2","215215","236712","98.6","1.1","91.4","0.7","96.5","1","90.81696422610467","71.18799282190942","1.54","0.8878","0.8885","0.9915","0.976","1.0092","0.9711","0.9839","0.9537","0.9644","1.0041"
"SATD200202","2002-02-01T00:00:00.000","64517654","72086688","48746054","53960127","15771600","18126561","43964813","52215053","32587181","38181078","11377632","14033974","68.1","72.4","66.9","70.8","72.1","77.4","4441","5170","38561","44474","43002","49644","45157584","54212737","2024465","2281020","1213432","1342612","670860","750114","397948979","484561258","718884","771897","192964","219042","2242.4","1803","40.5","47.2","76.3","208237","238125","99.7","1.1","93.8","2.7","98","1.6","90.8112152383915","71.14820026626882","1.54","0.9192","0.8885","0.9923","1.0104","1.0402","0.9803","0.9789","0.9615","0.9563","1.0187"
"SATD200203","2002-03-01T00:00:00.000","73503746","72670018","55533933","54268553","17969813","18401465","56037382","52979686","41424662","38818987","14612720","14160700","76.2","72.9","74.6","71.5","81.3","77","5602","5275","48397","44954","53999","50230","57423396","53904138","2483076","2355210","1330919","1289534","738197","740372","459147305","448519917","776881","749233","214550","216441","2258.4","1908.6","45.9","45.7","75.6","236070","235504","98.8","-0.9","92.5","-1.5","97","-1.1","91.4977059676422","71.50499943835351","1.54","0.914","0.9174","0.953","0.9973","0.9628","0.9515","0.9672","1.0178","0.9253","1.0091"
"SATD200204","2002-04-01T00:00:00.000","72803818","73928421","54440293","55179401","18363525","18749020","51993221","52842967","38475773","38595319","13517448","14247648","71.4","71.5","70.7","69.9","73.6","76","5100","5245","45358","44854","50458","50100","53013179","54265828","2426477","2387479","1317471","1325271","755624","759277","453149024","463657915","779169","765326","210758","214113","1881","1963.5","47.2","45.5","75.8","237226","236391","99.5","0.8","93.5","1.2","97.8","0.9","91.93319178691564","72.68499321120431","1.52","0.9201","0.93","0.9794","1.0228","0.9953","0.9719","0.9568","1.0471","0.9211","1.0123"
"SATD200205","2002-05-01T00:00:00.000","75809674","74619036","56184515","55628277","19625159","18990758","54695480","53479546","39908390","39021325","14787090","14458221","72.1","71.7","71","70.1","75.3","76.1","5351","5274","47050","44764","52401","50037","55663570","54818107","2408401","2409609","1363594","1326450","781508","772644","461622928","449662505","789624","751267","220991","213465","1611.4","1941.9","47.4","46.2","77.2","251746","237506","100.9","1.4","93.6","0","98.8","1","92.32751074774288","73.16583845059321","1.55","0.9295","0.9386","0.9803","1.0408","0.9653","0.9541","0.9539","1.0356","0.9348","1.0308"
"SATD200206","2002-06-01T00:00:00.000","76879798","75457671","57080224","56459561","19799574","18998110","59031826","53978307","42899467","39552005","16132359","14426302","76.8","71.5","75.2","70.1","81.5","75.9","5848","5296","49095","45583","54943","50879","60224150","54717138","2477418","2492470","1348722","1351933","785892","780127","499734575","447930337","720832","752109","219492","215243","1591.4","1975.4","48.8","46.9","77","247868","238073","101.3","0.4","93.5","-0.1","99","0.3","93.08596648390322","73.09203326359501","1.55","0.9278","0.9709","0.9991","1.0509","0.9616","0.9552","0.9619","1.0534","0.9486","1.0275"
"SATD200207","2002-07-01T00:00:00.000","80595218","75562894","59807169","56528757","20788049","19034137","61965515","54102145","45270461","39682370","16695054","14419774","76.9","71.6","75.7","70.2","80.3","75.8","6321","5303","51065","45416","57386","50718","63828500","54618354","2521489","2506480","1320917","1342374","782413","778546","564023742","469069920","742987","749496","223444","218092","1748.4","1990.2","50.9","47.3","78.4","256392","237780","102.6","1.3","93.4","-0.1","99.9","0.9","93.05516833543976","72.2792869874943","1.54","0.9261","0.9764","0.9921","1.0487","1.0069","0.9518","0.9746","1.0613","0.9583","1.0465"
"SATD200208","2002-08-01T00:00:00.000","80868442","75733027","59972808","56623008","20895634","19110020","62332762","54647083","45415533","40055826","16917229","14591257","77.1","72.2","75.7","70.7","81","76.4","6418","5443","51141","47027","57559","52470","63657944","55073832","2518364","2486643","1422794","1356735","847156","784050","516067118","433749854","742214","752372","218464","211832","1725.7","1927","48.8","46.4","78.2","258666","239615","102.3","-0.3","93.9","0.5","99.8","-0.1","92.95959141470811","73.33612391216137","1.53","0.9338","0.9686","1.0027","1.0561","0.9311","0.9555","0.9466","1.0276","0.9401","1.0447"
"SATD200209","2002-09-01T00:00:00.000","73849591","75455712","54357595","56267017","19491996","19188695","48731119","53168194","34211925","38489112","14519194","14679083","66","70.5","62.9","68.4","74.5","76.5","5082","5570","40143","45206","45225","50776","49270915","54596399","2385972","2425813","1354591","1344062","791984","777633","385089969","422540158","764467","762309","209278","212282","1542.2","1941.8","44.9","47","79.1","233625","239653","102.8","0.5","93.6","-0.2","100.1","0.3","93.04870072426242","73.44505325441774","1.58","0.9258","0.9449","0.9933","1.0475","0.9071","0.9681","0.9487","1.0355","0.951","1.0559"
"SATD200210","2002-10-01T00:00:00.000","77124746","76174547","57505033","56523474","19619713","19651073","53268604","54534385","39065248","39740721","14203356","14793664","69.1","71.6","67.9","70.3","72.4","75.3","5100","5634","48055","48544","53155","54178","54019748","55455058","3345807","3090554","1416524","1326851","770680","702231","399247828","420218309","803242","737514","210045","209766","1645.9","1966.8","50.3","47.5","79.1","245556","237938","104.3","1.4","93.7","0","101.1","1","92.80385544397784","73.26476407774443","1.57","0.9403","1.2039","0.9806","0.9459","0.9021","0.9366","0.9374","1.0489","0.9611","1.0565"
"SATD200211","2002-11-01T00:00:00.000","72812742","75913637","54513457","56439029","18299285","19474608","49186629","54540742","36348009","39946699","12838620","14594043","67.6","71.8","66.7","70.8","70.2","74.9","4866","5644","44850","48423","49716","54066","50106815","56310323","3074803","2923578","1317078","1335149","772168","772885","376011411","424120331","738672","749465","212871","214704","1913.6","1988.2","50.7","49.4","79.3","230648","238385","104.6","0.3","95.1","1.6","101.8","0.7","93.312948838079","73.56620935958045","1.58","0.9548","1.1388","0.9867","1.0411","0.9105","0.9518","0.9595","1.0602","1","1.0583"
"SATD200212","2002-12-01T00:00:00.000","75616059","75791839","56713015","56386219","18903044","19405620","55458015","55036517","41361303","40577207","14096712","14459310","73.3","72.6","72.9","72","74.6","74.5","5360","5516","49684","49043","55044","54559","56656595","55906971","2810584","2778134","1286342","1344048","726419","768295","448245893","424887057","717457","746228","229928","223720","2378.9","1958.7","46.4","47.1","80.2","234260","239969","104.9","0.3","94.5","-0.6","101.8","0","92.79543728339786","72.17480374084022","1.56","0.948","1.0822","0.9933","1.0349","0.9121","0.9477","0.9998","1.0445","0.9534","1.0705"
"SATD200301","2003-01-01T00:00:00.000","75100667","76430717","56191300","57064518","18909367","19366199","49830903","54770148","36211422","40339143","13619481","14431005","66.4","71.7","64.4","70.7","72","74.5","5206","5480","43032","48231","48238","53711","51197174","56444674","2573661","2854923","1304173","1327333","769331","789780","393287373","462146272","736900","745616","222634","219674","2700.5","1940.5","39.7","45.4","79.3","218534","239077","103.9","-0.9","95.3","0.8","101.4","-0.4","93.56159255667404","73.31055886244813","1.56","0.9571","1.1121","0.981","1.0639","0.9921","0.9469","0.9817","1.0348","0.9194","1.0582"
"SATD200302","2003-02-01T00:00:00.000","66514415","74434535","50088434","55598237","16425981","18836298","45514803","54034626","34148439","40013760","11366364","14020865","68.4","72.6","68.2","72","69.2","74.4","4530","5273","41167","47516","45697","52790","47040806","56209901","2446178","2776505","1194370","1325727","713113","796758","390041481","477991382","696283","750492","188368","213181","2500.3","2008.5","36","42.7","78.8","203677","233578","103.1","-0.8","95.3","0","100.8","-0.5","93.67821487885573","74.09418321235376","1.59","0.9531","1.0815","0.9798","1.0733","1.0261","0.9531","0.9527","1.0711","0.865","1.0526"
"SATD200303","2003-03-01T00:00:00.000","76228184","75267602","57592901","56214339","18635283","19053263","54994261","52938988","41774564","39805225","13219697","13133763","72.1","70.3","72.5","70.8","70.9","68.9","5305","5075","49993","47517","55298","52592","56766580","54424525","2925823","2743038","1356673","1314810","806341","803858","472573962","484470055","786396","761723","213683","214915","2197.9","1862.6","45.7","45.2","79.4","236679","236830","103.5","0.3","93.8","-1.6","100.6","-0.3","93.42166630215505","74.6875146704809","1.59","0.9228","1.0685","0.9717","1.0828","1.04","0.9674","0.9604","0.9933","0.9142","1.0601"
"SATD200304","2003-04-01T00:00:00.000","70959285","72063652","54639679","55340497","16319606","16723156","50304173","50420805","39465980","39208198","10838193","11212607","70.9","70","72.2","70.8","66.4","67","4560","4645","47033","46396","51593","51041","51857453","52404174","2733039","2722201","1321086","1325428","791679","805916","483653074","479228532","762806","748153","215713","219632","1743.5","1835.6","47.5","45.7","79.6","239415","238036","103.7","0.3","90.9","-3","99.8","-0.7","92.83701478382352","72.41111372210256","1.58","0.8886","1.0604","0.9796","1.0856","1.0288","0.9501","0.9815","0.9789","0.9249","1.0625"
"SATD200305","2003-05-01T00:00:00.000","71761853","70810020","55349897","54924495","16411956","15885524","53070727","51937385","41001934","40196450","12068793","11740936","74","73.3","74.1","73.2","73.5","73.9","4819","4755","49152","47363","53971","52118","54335598","53597158","2732471","2763256","1360188","1320722","816940","801129","489484678","477543961","763469","740664","232437","224705","1514.7","1824.7","45.5","43.9","78.7","253244","239910","102.8","-0.9","92","1.1","99.5","-0.3","92.8050873699164","73.17206298443644","1.58","0.9088","1.0764","0.9761","1.0791","1.0251","0.9406","1.0042","0.9731","0.8887","1.0503"
"SATD200306","2003-06-01T00:00:00.000","74465181","72845251","56555517","55644968","17909664","17200283","58958204","53826213","44492972","40813069","14465232","13013144","79.2","73.9","78.7","73.3","80.8","75.7","5635","5108","52210","47995","57845","53103","60272900","54566096","2680998","2678836","1328754","1330758","811026","808475","531138943","475743044","719584","735944","231320","227975","1368.4","1691.1","46.6","44.6","78.8","252145","241491","102.7","-0.1","92.8","1","99.7","0.2","92.92786932179077","73.8912189481087","1.56","0.9252","1.0435","0.9835","1.089","1.0213","0.9346","1.0188","0.9018","0.903","1.0527"
"SATD200307","2003-07-01T00:00:00.000","79108160","73867657","59617048","56115214","19491112","17752443","64470622","55866448","48321924","42014394","16148698","13852054","81.5","75.6","81.1","74.9","82.9","78","6466","5414","55811","49523","62277","54938","65962215","56079880","2794091","2781567","1314261","1334161","820741","817297","578767927","481606503","740437","746344","226790","221827","1600.5","1809.4","47.9","44.4","79.9","262105","243389","104.1","1.3","95","2.3","101.4","1.6","93.40760181435672","74.61459870260315","1.54","0.9509","1.0835","0.986","1.1009","1.0339","0.9478","0.9913","0.9649","0.8992","1.0662"
"SATD200308","2003-08-01T00:00:00.000","79595941","74494684","59634190","56329249","19961751","18165436","63540849","55890235","46982527","41654179","16558322","14236056","79.8","75","78.8","73.9","83","78.4","6567","5583","53921","49654","60488","55236","64989766","56515455","2819634","2808870","1405706","1340737","852480","793691","557897322","480671581","718910","742528","232664","225500","1651.6","1838.2","47.1","45","78.9","260687","242803","103.5","-0.6","95.3","0.3","101.1","-0.3","93.20885109627248","74.13375346321425","1.52","0.9583","1.0942","0.9909","1.0691","1.0319","0.943","1.0077","0.9803","0.9115","1.0539"
"SATD200309","2003-09-01T00:00:00.000","73605919","75419683","54973852","56953740","18632067","18465943","51022359","55886749","36819820","41431309","14202539","14455440","69.3","74.1","67","72.7","76.2","78.3","5105","5652","44213","49516","49318","55168","52121480","57701108","2748240","2767032","1367855","1356579","838493","819852","427807444","464674659","751233","732777","225315","228586","1428.6","1802.4","43.7","46.5","80.2","237451","243182","104.8","1.3","96.2","0.9","102.3","1.2","93.8131107691257","75.46157991484156","1.54","0.9784","1.0779","1.0026","1.1044","0.9975","0.9306","1.0215","0.9612","0.9415","1.0701"
